"Genus","TRI"
"Anchitherium",0.762889600932129
"Archaeohippus",0.713390501319261
"Cormohipparion",0.526070833162854
"Desmatippus",0.65435403283369
"Dinohippus",0.454521644778688
"Equus",0
"Hipparion",0.565073716319268
"Hyracotherium",0.888664600647979
"Merychippus",0.541866803700579
"Mesohippus",0.760651944667317
"Miohippus",0.736747967479675
"Neohipparion",0.483151546547556
"Pliohippus",0.328586668728541
"Protohippus",0.587252562122701
"Pseudhipparion",0.532561443108228
"Tapirus",0.789866666666667
"Parahippus",0.607029532539715
